category,total,male,female,white,hispanic,black,other_race,year
All offenses,59632,370068,89564,161410,167839,103244,27139,2000
Drug offenses,128142,101651,26491,49527,43599,29803,5213,2000
Marijuana,13067,11613,1454,4751,3646,4134,536,2000
All offenses,487364,391562,95802,169283,183943,105569,28569,2001
Drug offenses,131306,104614,26692,49850,46275,29669,5512,2001
Marijuana,12682,11448,1234,4588,3396,4059,639,2001
All offenses,487364,391562,95802,169283,183943,105569,28569,2002
Drug offenses,131306,104614,26692,49850,46275,29669,5512,2002
Marijuana,12682,11448,1234,4588,3396,4059,639,2002
All offenses,507081,406295,100786,174512,196129,107967,28473,2003
Drug offenses,140744,112234,28510,52790,50818,31321,5815,2003
Marijuana,13022,11647,1375,4580,3543,4239,660,2003
All offenses,"522,781","416,920","105,861","178,639","205,306","110,783","28,053",2004
Drug offenses,"150,305","119,398","30,907","55,170","55,097 34,097","34,097","5,941",2004
Marijuana,"13,106","11,776","1,330","4,175","3,659","4,651",621,2004
All offenses,"538,166","429,991","108,175","180,630","215,604","113,520","28,412",2005
Drug offenses,"159,944","127,389","32,555","57,783","60,367","35,389","6,405",2005
Marijuana,"92,972","72,940","20,032","42,032","41,152","5,559","4,229",2005
All offenses,534460,426763,107697,172975,217108,115146,29231,2006
Drug offenses,154468,122437,32031,53457,57903,36338,6770,2006
Marijuana,13548,12307,1241,4339,3818,4619,772,2006
All offenses,523276,416032,107244,164274,215541,113962,29499,2007
Drug offenses,143692,114477,29215,48157,53710,34987,6838,2007
Marijuana,16124,14572,1552,5095,4704,5258,1067,2007
All offenses,499628,396991,102637,152280,205348,112875,29125,2008
Drug offenses,129080,102896,26184,42488,47081,32885,6626,2008
Marijuana,17126,15572,1554,5409,5285,5351,1081,2008
All offenses,466441,369289,97152,147477,190471,100799,27694,2009
Drug offenses,118684,94294,24390,42885,43293,26156,6350,2009
Marijuana,17008,15382,1626,5868,5320,4683,1137,2009
All offenses,448552,352859,95693,147841,183648,90698,26365,2010
Drug offenses,121286,95905,25381,45940,47053,21813,6480,2010
Marijuana,16585,14964,1621,5554,5809,4069,1153,2010
All offenses,419914,331079,88835,141671,170626,83613,24004,2011
Drug offenses,115332,90727,24605,46307,44478,18519,6028,2011
Marijuana,14092,12636,1456,4854,5122,3063,1053,2011
All offenses,429807,339002,90805,149044,172934,83740,24089,2012
Drug offenses,120995,95246,25749,49375,47174,18083,6363,2012
Marijuana,13434,12080,1354,4617,4953,2745,1119,2012
All offenses,442741,346602,96139,156368,177737,83688,24948,2013
Drug offenses,137125,107459,29666,56581,54168,19116,7260,2013
Marijuana,13779,12266,1513,4516,5419,2538,1306,2013
All offenses,439958,343676,96282,153467,177832,82892,25767,2014
Drug offenses,137054,107651,29403,55468,54157,19708,7721,2014
Marijuana,13300,11852,1448,4129,5247,2460,1464,2014
All offenses,314748,251320,63428,100766,130766,63942,19274,2015
Drug offenses,44629,36935,7694,16136,17878,7564,3051,2015
Marijuana,8866,7934,932,2564,3325,1812,1165,2015
All offenses,308860,246654,62206,96469,130013,62754,19624,2016
Drug offenses,38988,32316,6672,13437,16093,6442,3016,2016
Marijuana,7949,6983,966,2076,3066,1592,1215,2016
All offenses,306024,243247,62777,95913,128271,63146,18694,2017
Drug offenses,29955,24639,5316,10767,12587,4739,1862,2017
Marijuana,2086,1847,239,494,832,438,322,2017
All offenses,302514,239643,62871,93516,128393,61997,18608,2018
Drug offenses,28376,23356,5020,10097,11987,4355,1937,2018
Marijuana,1617,1414,203,336,623,333,325,2018
All offenses,293509,232337,61172,89189,125391,60619,18310,2019
Drug offenses,27280,22300,4980,9682,11985,3906,1707,2019
Marijuana,1181,1038,143,252,493,263,173,2019
All offenses,273542,220685,52857,80604,121117,55064,16757,2020
Drug offenses,25771,21326,4445,9631,10933,3425,1782,2020
Marijuana,1027,920,107,223,389,211,204,2020